"","PBA_cluster","MS_protein","Pearson_corr","p_value"
"285","c12","ADIPOQ",0.942857142857143,0.0166666666666667
"286","c7","TUBB",0.885714285714286,0.0333333333333333
"287","c7","SNX1",0.885714285714286,0.0333333333333333
"288","c7","CKMT1B",0.942857142857143,0.0166666666666667
"289","c9","COL18A1",0.942857142857143,0.0166666666666667
"290","c1","KNG1",0.942857142857143,0.0166666666666667
"291","c8","KNG1",0.885714285714286,0.0333333333333333
"292","c6","IGHV3-15",0.942857142857143,0.0166666666666667
"293","c12","IGHV3-15",1,0.00277777777777778
"294","c1","POLR2G",0.942857142857143,0.0166666666666667
"295","c13","NACA",0.885714285714286,0.0333333333333333
