"","AF4_1_a","AF4_1_b","AF4_2_a","AF4_2_b","AF4_3_a","AF4_3_b","MF_1_b","MF_1_a","MF_2_a","MF_2_b","MF_3_a","MF_3_b","SEC_1_a","SEC_1_b","SEC_2_a","SEC_2_b","SEC_3_a","SEC_3_b"
"FNTA",21.2841480173436,21.434484685565,20.9589767336384,20.8160641207783,21.1116088291788,21.6756327642123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMC1A",21.4694068188604,21.7117619040439,21.0122248684181,20.9580839559673,20.6631680465837,21.0359052291389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UXS1",19.3517027530796,19.8989629723231,19.0007097697597,19.0635846753629,18.921614336215,19.5374269682428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANKFY1",20.9787286110877,21.8372633485462,21.4373766941104,21.5116548007077,21.3231976211492,21.6561972332086,NA,NA,NA,NA,NA,NA,20.9950715116303,NA,21.5068809000116,NA,NA,NA
"ILF3",25.3100801925779,25.667632197196,24.7855642165006,24.9270530882017,24.9396609902729,25.6347800367153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NADSYN1",21.4418788507496,21.4450077711214,20.7710162719623,20.745783452833,20.7867649648263,21.4857718322503,NA,NA,15.2605447017267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LGALS3BP",27.5747032311814,27.7631925061449,27.481545712096,27.5660166316865,27.1851797212713,27.658808346809,29.7276081781539,29.9441931081892,29.8682065083267,30.1830509799444,29.9649915708616,29.691456752546,29.5033212128277,29.5609251894038,29.5202832049064,29.372437736935,29.3557348581423,28.85638107293
"EPB42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.054761160976,NA,23.5533274260339,22.7409830135601,22.3988480497842,22.757354196789,21.2234732467308,19.9456352944353
"CAPNS1",19.7042312617472,19.5043418475677,19.0915102836909,18.4745971715536,19.3625709966252,20.5108056902269,NA,NA,NA,NA,NA,NA,19.1999119307027,NA,NA,NA,NA,NA
"LDHA",27.3653626280791,27.5270125539137,26.6864560714876,26.8006996889685,26.830018802132,27.589780052076,16.8799660796644,16.9891949002138,18.0670666653248,16.7078444068923,18.7616031718552,17.0425891950434,21.2058350022779,18.7815326113941,19.5253965468619,17.6062309671368,17.4014645454718,19.6206798317588
"EHD3",24.6719565017925,24.9715842481721,23.9742129067327,24.0476005627713,24.2671375748809,25.0177578824287,NA,NA,NA,NA,NA,NA,18.2135205334208,NA,NA,NA,NA,NA
"MXRA8",21.8034122178335,21.7389234913818,21.2561136463496,21.3788843276591,21.202202757328,21.9060978818081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLO1",24.1832876619301,24.3135440478815,24.007956637837,24.0139305388816,24.2013498075986,24.6308980949973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C5",27.3341543275568,27.4991444378483,27.1661465291087,27.3502645189262,27.1351612835319,27.8006996889685,23.9950715116303,24.2534966642115,23.8764270151317,23.7765567260068,23.9369685570668,24.5451002222421,21.8575679878804,21.5451002222421,22.0853739054032,21.4118336913786,22.9005808768405,22.9387640707284
"PRPF4",20.4350892980922,20.5055043578359,19.7580035686156,19.9395318682202,19.9317344697148,20.4497914682633,NA,NA,NA,NA,NA,16.2310298789085,NA,NA,NA,NA,NA,NA
"NUP43",21.2302268848887,21.3751752207998,20.3651209626783,20.6717552768691,20.5369870447228,21.2649923030494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAR",21.3837438376434,21.6823041177813,20.8560014338889,21.076240841405,21.2647461078902,21.87364273917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLXNB1",NA,NA,NA,NA,NA,NA,22.2649923030494,22.8782994294645,22.7815678287903,22.9297640724774,22.9423484080774,22.6864560714876,18.7293884003895,18.2582347648559,18.8493623375037,18.1473291596173,17.853120676713,19.0394599413581
"PPP2R2A",21.2369957527868,21.5663393178368,20.6493658310303,21.0458083116395,20.4475837163278,21.4989071379682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USP39",22.3183795157964,22.5521549797761,21.6355529591051,21.9372879627755,21.9097641990058,22.6231027342434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDH11",20.989125588327,21.2477143116175,20.8802957405417,20.642067562599,20.2751355767751,20.9744685072396,18.3929043374937,18.8813739006139,18.120678323034,18.4368916563397,18.9179139674139,18.8038158006469,NA,NA,NA,NA,NA,NA
"RPS6KA3",20.8863924551514,21.0870173171664,20.2215658816832,20.1990971763717,20.4368172552302,21.0128031953009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISYNA1",24.7092512863977,24.8321939018602,24.2088094676562,24.1425807628097,24.1464704794849,24.725464451873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARP1",24.2389970945164,24.5937740689778,23.6616650349196,23.8698543612082,23.8278404181316,24.6096404744368,NA,NA,NA,NA,NA,NA,NA,15.1912173284522,NA,NA,NA,NA
"PSMD13",23.1237627346075,23.3211353810869,22.6474619398718,22.589208574532,22.8229877561703,23.5673229606019,20.8801694168175,NA,NA,NA,NA,NA,16.4191010183198,14.5587435614767,15.2610481300261,13.684080145425,NA,NA
"OLA1",25.0211514624489,25.2206652717442,24.2614097458548,24.4676214695644,24.6837819371893,25.1158488637436,NA,NA,NA,NA,NA,NA,16.8977391213793,NA,NA,NA,NA,NA
"PGLYRP2",23.8210421118553,24.30382421777,24.3490835722093,24.6342261127151,24.032546217049,24.6191892014091,25.885764879711,25.3544743119364,25.2820658164083,25.4800051940202,25.5225298106668,25.5255198532726,22.5308863630224,21.9060978818081,22.4750644527499,21.8950426932991,22.1976054633195,21.8950426932991
"DIPK2B",21.7875582666327,22.0624994391506,21.2904165874225,21.341975348177,21.3443354644416,22.0359052291389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFP",22.1345532268187,22.7336116140634,23.1467495133814,23.0092398688654,22.6518470345575,23.3658631872841,21.3179800298193,21.0754876367033,20.87850524676,21.1979659420722,21.2322270904222,20.994499152086,25.9671924790549,25.747912274609,26.0442687020735,25.8200683048383,26.4968610899052,26.2605127147739
"SF3B3",24.4861574210018,24.6408592050475,23.7002822263547,23.8442184342214,23.992480618912,24.5141245723382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SH3GL1",22.5754247590989,22.7855642165006,22.0918434007328,21.9387640707284,22.1332024304938,22.4349173044917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAND1",24.6960421203168,24.8604126060367,23.9645509860236,24.1603872598201,24.1588475637925,25.0291793659506,16.0808029573805,17.9119653751256,NA,NA,NA,NA,21.0475333352769,18.9372677729674,19.0652478216575,18.8166415149237,NA,NA
"DSG1",20.5562431516969,20.0779839739628,20.8547314443977,20.8802905084177,18.8065077718447,20.5625629278803,20.5301586422145,19.1381667865211,21.0012528653952,20.2104128472788,19.6602309771733,18.5328314991156,18.3289089185914,18.0004292048455,18.5994588784147,16.9527185001757,NA,NA
"PSME4",22.8461330928181,22.9916159529941,21.8774856022966,22.2534966642115,22.361853842302,23.0375818069463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUL4B",24.0821282458996,24.2606921656157,22.660577439662,23.5498072249196,23.7316919221507,24.3605149140937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS9",24.3923111331138,24.2542178314552,23.468864636415,23.5869203979367,23.8792347261202,24.4189262846357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITGB3",23.4182829423549,23.5020315003502,22.9351708060044,22.8151893856098,22.8093128192732,23.4898362033799,21.2994266021504,21.8801694168175,21.8016471876782,21.1570267554872,22.2095533166239,21.8776851709439,23.5032453792951,21.9811993370488,20.0034602655221,19.7862345248417,20.5101122075602,18.9804799010381
"NOP58",22.2215458217912,22.4674229609697,22.7264065246881,22.6358761791865,21.9582252371271,22.8249602938704,NA,21.0156328341126,NA,NA,NA,21.1642293261144,NA,NA,17.8343908047542,NA,NA,NA
"PSAT1",24.72806249875,24.9079322050569,24.030863773662,24.1038960609818,24.2735543165528,24.73634494728,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9372634619397,NA,NA
"TOLLIP",20.38574446251,21.6843171607313,21.0019578972156,19.4448632365529,20.8007909127887,21.8613595670428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALDH8A1",23.5777312264821,23.7045099071555,22.9423484080774,23.103095675363,23.1190196233515,23.8210421118553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORO1B",22.718164931215,22.8931918976111,22.1672956291622,22.3591747421061,22.3100801925779,23.0190314105745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHMT",25.1768360358437,25.3166544228719,24.3052167806589,24.4787715940811,24.5099035180058,25.3020816217846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FTH1",21.4336643893485,21.6733026048711,21.077927923913,21.2691466591025,21.394137652185,21.9041424947493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PSMB4",23.7685025806453,23.8499548037705,23.0589363951533,23.1975679707575,22.992029846763,23.712379744618,NA,NA,NA,NA,NA,NA,NA,17.9086095810643,17.2136643402514,NA,NA,NA
"HLA-A",22.2448144211117,22.29614100162,21.9429511353697,22.1703554289113,22.1033403203263,22.304520667236,21.6351432953729,21.1863373456425,21.0923087319997,21.1631048136699,21.2500977134655,21.0926197296877,22.5332650858051,21.5709304071986,21.8499548037705,21.7125735985813,21.3996268426881,21.8997216370745
"USP5",23.3169996065177,23.8132331886445,23.1158488637436,23.5788830788713,22.8499548037705,23.8181187166485,NA,NA,NA,NA,NA,18.7014418436545,20.2577388694062,17.54714306468,17.7839382233192,19.8565729445478,23.3910001879615,23.1722672607978
"LRBA",22.6022054454849,22.6118929261682,22.8690715362088,22.3468702379451,22.0964491150493,22.5684831496801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPP1CC",22.7614181291689,22.9079322050569,22.1549911192591,22.0525839702855,22.3962368363276,22.9742129067327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCT2",25.5195335582069,25.8528144579098,25.0350662090275,25.0446856057149,25.4040563407869,25.9088484928241,NA,NA,NA,NA,NA,NA,18.2135551812617,NA,17.1393514971557,NA,NA,NA
