"","protein","avg_percent","avg_percent_all","FC","cate","log2FC","spec","new_column","spec1","source","Sum","Mean","F","pvalue","qvalue"
"264","LGR5",0.00272450096864671,0.00266886477197772,1.02084639029042,"Exo-CMDS",0.0297657960504777,"no",NA,"no","method1","3.657382e-04","1.219127e-04","565.77308",5.410263e-46,3.19734339699248e-45
"265","SELL",0.00538793123106673,0.00231326227908734,2.32914844104597,"SEC",1.219802588169,"spec",NA,"spec","method1","2.513480e-04","8.378267e-05","484.424135",6.378573e-44,3.50598487972028e-43
"266","CUBN",0.0157026111464596,0.00751223245684565,2.09027226415902,"SEC",1.06369086985143,"spec",NA,"spec","method1","1.777130e-03","5.923765e-04","936.849330",8.489081e-53,9.14029817260274e-52
"267","APOE",0.504179269929317,0.245988024654963,2.04960900286307,"SEC",1.03534871781278,"no",NA,"no","method1","3.781313785","1.260437928","842.824497",2.310502e-51,2.16196972857143e-50
"268","CD26",0.00972229902310777,0.00598684860587816,1.62394268890681,"SEC",0.699500718798395,"no",NA,"no","method1","4.724113e-04","1.574704e-04","396.713842",2.816541e-41,1.34169771272727e-40
"269","CDH2",0.00201719965226096,0.0013311829173769,1.51534370365559,"SEC",0.599645056616279,"no",NA,"no","method1","2.351929e-05","7.839762e-06","175.8003207",7.647635e-31,2.78288940277778e-30
"270","CR1",0.00592049547528984,0.00396116159517113,1.49463619017898,"SEC",0.57979436034418,"no",NA,"no","method1","4.577536e-04","1.525845e-04","1029.829334",4.387249e-54,5.74729619e-53
"271","CD8A",0.00796227467836651,0.00545915466113008,1.45851787916158,"SEC",0.544503071542672,"no",NA,"no","method1","3.387216e-04","1.129072e-04","82.956831",5.106763e-22,1.6724648825e-21
"272","PTPRC",0.00433226948670065,0.00316175181353983,1.37021175038098,"SEC",0.454398862250226,"no",NA,"no","method1","1.489514e-04","4.965046e-05","198.64728575",2.302495e-32,8.78524791262136e-32
"273","EMCN",0.00632581866634005,0.00486915507295568,1.29916147084224,"SEC",0.377580752345492,"no",NA,"no","method1","3.014897e-04","1.004966e-04","392.733271",3.824461e-41,1.81085924457831e-40
"274","CDH13",0.00287014386070842,0.00230778261658129,1.2436803363049,"SEC",0.314615716585168,"no",NA,"no","method1","4.819786e-05","1.606595e-05","182.465328",2.643994e-31,9.75671025352113e-31
"275","HLA-A",0.00138468920951311,0.0011166034189132,1.24009042607164,"SEC",0.310445324231989,"no",NA,"no","method1","9.189904e-06","3.063301e-06","149.829101",6.964715e-29,2.44386874553571e-28
"276","CLDN10",0.00115914801007115,0.000937417643837162,1.23653316927808,"SEC",0.306300939696446,"no",NA,"no","method1","7.621752e-06","2.540584e-06","74.61441673",7.279409e-21,2.34492437459016e-20
"277","NECTIN1",0.00101320388597356,0.000820715132408078,1.23453783897063,"SEC",0.3039710562123,"no",NA,"no","method1","6.426226e-06","2.142075e-06","106.910055",6.99239e-25,2.40000809606987e-24
"278","CLDN11",0.00168734688121864,0.00136863959762194,1.23286428666134,"SEC",0.302013997034599,"no",NA,"no","method1","2.924658e-05","9.748858e-06","314.3503573",3.135928e-38,1.3617897281768e-37
"279","SIGLEC9",0.00252515770140532,0.00208783213519896,1.20946395011047,"SEC",0.274367768266213,"no",NA,"no","method1","3.517856e-05","1.172619e-05","208.874179",5.391076e-33,2.118692868e-32
